epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,807.171,2.43429,3.92491,2.22442,0.00515,0.54982,0.00604,0.00198,2.02903,3.71111,2.32034,0.001984,0.000661333,0.001984,0.000661333,0.001984,0.000661333,0.001984,0.000661333
2,1354.61,1.80382,3.16967,1.71197,0.4506,0.4048,0.32782,0.1285,1.73663,2.45899,1.64657,0.00358958,0.00119653,0.00358958,0.00119653,0.00358958,0.00119653,0.00358958,0.00119653
3,1819.49,1.53827,2.45665,1.45437,0.4131,0.48843,0.35886,0.17437,1.57706,2.19297,1.46571,0.00479917,0.00159972,0.00479917,0.00159972,0.00479917,0.00159972,0.00479917,0.00159972
4,2258.26,1.42878,2.18667,1.32739,0.59466,0.4395,0.46046,0.20142,1.61025,2.18154,1.53016,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,2703.27,1.39381,2.0488,1.29423,0.51075,0.46708,0.42976,0.21975,1.50388,1.88823,1.37661,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,3142.89,1.35126,1.94548,1.27234,0.56797,0.55516,0.54214,0.28687,1.45435,1.73842,1.33914,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,3597.79,1.31605,1.85984,1.25155,0.62321,0.51868,0.55971,0.28998,1.47714,1.77475,1.35249,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,4067.63,1.29893,1.78899,1.24128,0.50273,0.50099,0.43426,0.20634,1.57807,1.95684,1.40344,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,4542.24,1.28209,1.7488,1.23328,0.55739,0.54804,0.53218,0.27857,1.49122,1.71069,1.35545,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,5021.42,1.2537,1.71211,1.21377,0.6898,0.56385,0.62827,0.37602,1.37489,1.49576,1.264,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
